Student_ID,Age,Gender,Department,Level,CGPA,Attendance,Assignment,Midterm,Exam,Study_Hours,Financial_Stress,Family_Income,Scholarship,Sleep_Hours,Mental_Health,Carryovers,Performance,Dropout
1,26,Male,Computer Science,300,3.77,79,78.7,58.7,88.7,4.8,7,Low,Yes,3.5,4,0,Good,0
2,24,Male,Economics,200,2.61,63,45.9,64.9,45.9,3.7,2,High,No,5.5,6,1,Fair,0
3,21,Male,Software Engineering,400,2.28,40,52.0,50.0,35.0,3.6,8,Low,No,3.6,3,4,Poor,1
4,30,Female,Business Administration,200,3.82,97,82.1,70.1,77.1,5.4,1,High,Yes,5.8,2,1,Good,0
5,18,Female,Mechanical Engineering,200,3.59,58,75.4,76.4,63.400000000000006,5.1,1,High,No,6.2,3,1,Good,0
6,24,Male,Mass Communication,300,3.28,63,70.9,59.900000000000006,65.9,5.4,6,Low,Yes,7.8,7,2,Fair,0
7,23,Female,Medicine,400,2.04,71,41.3,30.0,51.3,1.3,7,Low,No,7.8,4,4,Poor,1
8,18,Female,Software Engineering,100,3.5,63,78.9,56.900000000000006,73.9,5.1,7,Low,Yes,6.3,4,1,Good,0
9,24,Male,Mass Communication,100,1.54,71,30.0,32.3,30.0,1.2,3,High,No,8.6,4,3,Poor,1
10,29,Female,Nursing,500,3.02,56,55.8,63.8,61.8,3.2,2,High,Yes,6.8,1,2,Fair,1
11,30,Female,Medicine,300,3.65,41,61.3,77.3,80.3,5.7,7,Low,Yes,8.2,1,0,Good,0
12,23,Male,Electrical Engineering,500,4.89,94,95.2,100.0,98.2,7.1,2,High,No,8.8,6,1,Excellent,0
13,23,Male,Information Technology,200,2.4,52,62.6,46.6,34.6,3.9,6,Low,No,6.9,1,3,Poor,1
14,30,Male,Nursing,300,2.96,47,62.1,44.1,71.1,4.1,8,Low,Yes,5.6,6,2,Fair,1
15,17,Male,Mass Communication,400,2.53,84,47.2,62.2,42.2,3.1,6,Medium,No,5.4,1,2,Fair,0
16,19,Male,Economics,400,1.76,51,30.0,30.0,45.3,1.5,7,Low,No,3.6,1,5,Poor,1
17,30,Male,Cyber Security,400,3.36,45,71.5,73.5,56.5,6.3,4,Medium,No,4.9,5,2,Fair,0
18,27,Female,Cyber Security,200,3.4,78,59.400000000000006,76.4,68.4,4.5,3,Medium,Yes,4.0,1,2,Fair,0
19,18,Male,Economics,100,1.57,45,30.0,30.0,34.5,0.5,10,Low,Yes,5.9,1,3,Poor,1
20,22,Female,Medicine,300,1.76,44,38.2,30.0,37.2,1.5,7,Low,No,7.9,3,3,Poor,1
21,25,Male,Software Engineering,500,3.5,40,70.0,69.0,71.0,6.1,7,Low,No,5.5,1,1,Good,0
22,24,Male,Mass Communication,500,1.75,48,42.4,30.0,32.4,2.1,4,Medium,Yes,6.6,3,5,Poor,1
23,26,Female,Economics,400,2.93,61,57.3,51.3,67.3,4.8,3,Medium,Yes,6.9,2,2,Fair,0
24,23,Female,Economics,100,2.57,59,59.7,53.7,40.7,3.4,7,Low,Yes,3.9,4,2,Fair,1
25,30,Female,Information Technology,200,4.1,70,89.0,88.0,69.0,5.9,3,High,Yes,8.0,3,0,Good,1
26,18,Female,Microbiology,400,1.71,88,34.4,38.4,30.0,1.5,3,High,Yes,4.8,7,4,Poor,1
27,29,Male,Information Technology,100,2.04,46,36.8,34.8,50.8,2.5,4,High,Yes,7.0,5,5,Poor,1
28,17,Female,Cyber Security,500,3.56,66,65.8,63.8,83.8,4.6,3,Medium,Yes,4.3,8,0,Good,0
29,27,Female,Computer Science,500,3.06,86,59.8,63.8,59.8,3.4,3,High,Yes,7.3,1,2,Fair,0
30,26,Female,Mechanical Engineering,400,1.59,66,30.8,34.8,30.0,0.9,5,High,No,6.3,8,4,Poor,1
31,20,Female,Information Technology,400,3.04,85,54.5,59.5,68.5,3.3,4,High,No,6.9,1,2,Fair,0
32,26,Female,Software Engineering,200,3.44,55,68.5,64.5,73.5,6.2,2,High,No,6.9,7,1,Fair,0
33,30,Male,Biochemistry,400,1.85,86,30.0,50.8,30.0,1.2,4,Medium,No,4.7,5,5,Poor,1
34,16,Male,Medicine,100,3.55,73,75.9,61.900000000000006,74.9,4.5,6,Medium,Yes,7.5,7,1,Good,0
35,30,Male,Biochemistry,400,4.37,59,84.7,78.7,98.7,6.1,4,Medium,No,5.0,2,0,Good,1
36,20,Female,Mechanical Engineering,500,1.72,80,30.0,43.0,30.0,1.2,7,Low,Yes,5.4,1,4,Poor,1
37,22,Male,Information Technology,400,1.75,40,36.0,30.0,39.0,2.3,7,Medium,Yes,6.0,4,5,Poor,1
38,30,Male,Accounting,200,1.51,59,30.0,30.7,30.0,0.5,6,Medium,No,8.0,5,5,Poor,1
39,30,Female,Business Administration,500,3.11,56,73.8,59.8,52.8,5.3,1,High,Yes,5.8,5,1,Fair,0
40,21,Female,Electrical Engineering,400,1.69,72,30.0,41.599999999999994,30.0,0.5,6,Medium,Yes,6.7,1,5,Poor,0
41,16,Male,Information Technology,100,1.89,88,34.4,44.4,34.4,1.5,2,High,Yes,7.3,7,4,Poor,0
42,25,Male,Microbiology,200,1.5,55,30.0,30.0,30.0,0.5,7,Medium,Yes,8.0,4,3,Poor,1
43,27,Male,Software Engineering,300,3.81,62,80.6,71.6,76.6,5.5,5,High,Yes,6.0,1,1,Good,0
44,29,Female,Software Engineering,400,3.22,88,64.4,73.4,55.4,3.2,4,Medium,No,7.6,8,3,Fair,0
45,22,Female,Mechanical Engineering,200,1.63,61,35.3,31.3,31.3,0.9,9,Low,No,3.2,2,4,Poor,1
46,19,Female,Microbiology,300,3.13,53,67.9,45.9,73.9,4.5,7,Medium,No,3.7,1,3,Fair,0
47,24,Male,Biochemistry,400,3.54,47,71.1,64.1,77.1,5.8,4,High,No,5.1,2,1,Good,0
48,24,Female,Civil Engineering,500,1.5,54,30.200000000000003,30.0,30.0,1.7,6,Medium,No,4.0,3,5,Poor,1
49,19,Female,Electrical Engineering,500,4.02,66,82.8,81.8,76.8,6.6,1,High,No,4.0,5,0,Good,0
50,16,Female,Biochemistry,200,4.79,84,93.2,94.2,100.0,6.9,1,High,No,5.6,8,0,Excellent,0
51,17,Male,Civil Engineering,400,1.5,72,30.0,30.0,30.0,0.6,7,Low,Yes,6.1,1,4,Poor,1
52,28,Male,Microbiology,500,2.29,75,44.5,35.5,57.5,1.9,6,Medium,No,3.7,7,5,Poor,0
53,19,Male,Electrical Engineering,100,2.37,46,38.8,46.8,56.8,3.5,7,Low,Yes,5.6,7,3,Poor,1
54,27,Female,Biochemistry,400,3.66,74,79.2,77.2,63.2,4.9,8,Low,Yes,3.8,3,0,Good,1
55,30,Female,Nursing,200,3.99,74,81.2,87.2,71.2,5.1,7,Low,Yes,3.9,5,1,Good,0
56,24,Female,Accounting,100,3.32,80,75.0,62.0,62.0,5.3,4,High,Yes,8.4,2,3,Fair,1
57,28,Female,Business Administration,100,2.59,47,45.1,53.1,57.1,3.6,10,Low,No,7.8,3,2,Fair,1
58,21,Female,Mass Communication,100,3.27,50,58.0,67.0,71.0,4.1,9,Low,No,5.4,1,2,Fair,1
59,17,Female,Nursing,500,1.59,65,30.0,30.0,35.5,0.5,9,Low,No,6.9,4,3,Poor,1
60,18,Female,Accounting,400,3.49,75,63.5,62.5,83.5,4.6,10,Low,Yes,5.8,1,1,Fair,1
61,23,Male,Mass Communication,200,3.18,62,68.6,63.599999999999994,58.599999999999994,4.5,7,Medium,No,6.1,5,2,Fair,0
62,24,Male,Nursing,100,4.15,72,84.6,97.6,66.6,6.5,5,Medium,No,7.1,3,1,Good,0
63,24,Female,Mechanical Engineering,300,4.23,54,80.2,86.2,87.2,6.7,4,High,No,7.9,2,1,Good,0
64,27,Female,Biochemistry,400,4.62,46,85.8,94.8,96.8,6.6,6,Medium,Yes,7.7,3,1,Excellent,0
65,30,Female,Computer Science,200,2.9,60,55.0,59.0,60.0,3.7,3,Medium,Yes,8.0,1,3,Fair,1
66,21,Female,Nursing,500,2.64,54,53.2,64.2,41.2,4.0,7,Low,Yes,8.2,4,3,Fair,1
67,18,Female,Medicine,100,1.71,61,40.3,30.0,32.3,1.9,6,Low,No,5.5,6,5,Poor,1
68,18,Male,Business Administration,400,4.31,51,78.3,80.3,100.0,6.6,4,High,Yes,5.9,3,0,Good,1
69,26,Male,Software Engineering,400,3.2,67,65.1,57.099999999999994,70.1,4.6,6,Medium,No,3.9,5,2,Fair,0
70,25,Female,Biochemistry,300,1.97,77,30.0,42.099999999999994,46.099999999999994,0.5,8,Low,No,7.4,4,4,Poor,1
71,28,Female,Information Technology,200,3.71,86,85.8,61.8,74.8,5.0,2,High,No,4.0,7,1,Good,0
72,30,Female,Mechanical Engineering,400,3.5,59,74.7,69.7,65.7,5.1,7,Low,Yes,4.6,1,1,Good,0
73,29,Female,Microbiology,100,4.12,56,73.8,86.8,86.8,5.5,4,Medium,Yes,4.1,4,1,Good,0
74,24,Male,Accounting,300,2.27,80,52.0,39.0,45.0,2.7,5,High,No,3.6,6,5,Poor,0
75,19,Male,Mass Communication,400,1.57,44,30.0,30.0,34.2,1.0,4,High,No,4.1,1,5,Poor,1
76,23,Female,Mass Communication,500,3.3,69,73.7,62.7,61.7,4.4,6,Medium,Yes,6.9,1,1,Fair,0
77,19,Female,Software Engineering,300,2.98,60,47.0,69.0,63.0,3.6,1,High,No,7.2,2,3,Fair,0
78,16,Male,Microbiology,300,1.85,78,35.4,30.0,45.4,0.5,10,Low,Yes,7.1,1,3,Poor,1
79,18,Male,Electrical Engineering,200,1.5,40,30.0,30.0,30.0,0.5,7,Low,No,6.2,1,3,Poor,1
80,16,Male,Biochemistry,400,3.82,97,71.1,71.1,87.1,4.1,1,High,Yes,6.2,2,0,Good,1
81,27,Female,Accounting,100,2.03,40,39.0,41.0,42.0,2.2,9,Low,No,7.6,1,4,Poor,1
82,17,Male,Electrical Engineering,500,4.78,75,93.5,93.5,100.0,7.2,4,High,No,5.8,8,0,Excellent,0
83,30,Male,Civil Engineering,400,3.44,59,72.7,77.7,55.7,5.2,8,Low,No,5.3,2,3,Fair,1
84,18,Female,Software Engineering,100,1.65,79,30.0,38.7,30.0,0.5,9,Low,Yes,3.4,5,5,Poor,1
85,26,Male,Civil Engineering,300,4.76,86,100.0,97.8,87.8,7.6,1,High,No,6.4,10,0,Excellent,0
86,19,Male,Mechanical Engineering,500,3.59,67,67.1,69.1,79.1,4.0,5,Medium,Yes,6.9,8,0,Good,0
87,29,Female,Computer Science,200,2.05,51,34.3,43.3,45.3,2.5,5,Medium,No,4.2,1,5,Poor,1
